"Plot Title: TC5_Nest"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20128175, SEN S/N: 20128175)","Intensity, Lux (LGR S/N: 20128175, SEN S/N: 20128175)","Coupler Attached (LGR S/N: 20128175)","Host Connected (LGR S/N: 20128175)","Stopped (LGR S/N: 20128175)","End Of File (LGR S/N: 20128175)"
233,05/12/19 04:56:00 PM,24.158,0.0,,,,
234,05/12/19 04:56:30 PM,24.158,0.0,,,,
235,05/12/19 04:57:00 PM,24.158,0.0,,,,
236,05/12/19 04:57:30 PM,24.158,0.0,,,,
237,05/12/19 04:58:00 PM,24.158,0.0,,,,
238,05/12/19 04:58:30 PM,24.158,0.0,,,,
239,05/12/19 04:59:00 PM,24.158,0.0,,,,
240,05/12/19 04:59:30 PM,24.158,0.0,,,,
241,05/12/19 05:00:00 PM,24.158,0.0,,,,
242,05/12/19 05:00:30 PM,24.158,0.0,,,,
243,05/12/19 05:01:00 PM,24.158,0.0,,,,
244,05/12/19 05:01:30 PM,24.158,0.0,,,,
245,05/12/19 05:02:00 PM,24.158,0.0,,,,
246,05/12/19 05:02:30 PM,24.158,0.0,,,,
247,05/12/19 05:03:00 PM,24.255,0.0,,,,
248,05/12/19 05:03:30 PM,24.158,0.0,,,,
249,05/12/19 05:04:00 PM,24.158,0.0,,,,
250,05/12/19 05:04:30 PM,24.158,0.0,,,,
251,05/12/19 05:05:00 PM,24.158,0.0,,,,
252,05/12/19 05:05:30 PM,24.158,0.0,,,,
253,05/12/19 05:06:00 PM,24.158,0.0,,,,
254,05/12/19 05:06:30 PM,24.255,0.0,,,,
255,05/12/19 05:07:00 PM,24.158,0.0,,,,
256,05/12/19 05:07:30 PM,24.158,0.0,,,,
257,05/12/19 05:08:00 PM,24.255,0.0,,,,
258,05/12/19 05:08:30 PM,24.255,0.0,,,,
259,05/12/19 05:09:00 PM,24.158,0.0,,,,
260,05/12/19 05:09:30 PM,24.158,0.0,,,,
261,05/12/19 05:10:00 PM,24.158,0.0,,,,
262,05/12/19 05:10:30 PM,24.158,0.0,,,,
263,05/12/19 05:11:00 PM,24.158,0.0,,,,
264,05/12/19 05:11:30 PM,24.158,0.0,,,,
265,05/12/19 05:12:00 PM,24.158,0.0,,,,
266,05/12/19 05:12:30 PM,24.158,0.0,,,,
267,05/12/19 05:13:00 PM,24.158,0.0,,,,
268,05/12/19 05:13:30 PM,24.158,0.0,,,,
269,05/12/19 05:14:00 PM,24.158,0.0,,,,
270,05/12/19 05:14:30 PM,24.158,0.0,,,,
271,05/12/19 05:15:00 PM,24.158,0.0,,,,
272,05/12/19 05:15:30 PM,24.158,0.0,,,,
273,05/12/19 05:16:00 PM,24.158,0.0,,,,
274,05/12/19 05:16:30 PM,24.158,0.0,,,,
275,05/12/19 05:17:00 PM,24.158,0.0,,,,
276,05/12/19 05:17:30 PM,24.158,0.0,,,,
277,05/12/19 05:18:00 PM,24.158,0.0,,,,
278,05/12/19 05:18:30 PM,24.158,0.0,,,,
279,05/12/19 05:19:00 PM,24.158,0.0,,,,
280,05/12/19 05:19:30 PM,24.158,0.0,,,,
281,05/12/19 05:20:00 PM,24.158,0.0,,,,
282,05/12/19 05:20:30 PM,24.158,0.0,,,,
283,05/12/19 05:21:00 PM,24.158,0.0,,,,
284,05/12/19 05:21:30 PM,24.158,0.0,,,,
285,05/12/19 05:22:00 PM,24.158,0.0,,,,
286,05/12/19 05:22:30 PM,24.158,0.0,,,,
287,05/12/19 05:23:00 PM,24.158,0.0,,,,
288,05/12/19 05:23:30 PM,24.158,0.0,,,,
289,05/12/19 05:24:00 PM,24.158,0.0,,,,
290,05/12/19 05:24:30 PM,24.158,0.0,,,,
291,05/12/19 05:25:00 PM,24.255,0.0,,,,
292,05/12/19 05:25:30 PM,24.158,0.0,,,,
293,05/12/19 05:26:00 PM,24.158,0.0,,,,
294,05/12/19 05:26:30 PM,24.158,0.0,,,,
295,05/12/19 05:27:00 PM,24.158,0.0,,,,
296,05/12/19 05:27:30 PM,24.158,0.0,,,,
297,05/12/19 05:28:00 PM,24.158,0.0,,,,
298,05/12/19 05:28:30 PM,24.158,0.0,,,,
299,05/12/19 05:29:00 PM,24.158,0.0,,,,
300,05/12/19 05:29:30 PM,24.158,0.0,,,,
301,05/12/19 05:30:00 PM,24.158,0.0,,,,
302,05/12/19 05:30:30 PM,24.158,0.0,,,,
303,05/12/19 05:31:00 PM,24.158,0.0,,,,
304,05/12/19 05:31:30 PM,24.158,0.0,,,,
305,05/12/19 05:32:00 PM,24.158,0.0,,,,
306,05/12/19 05:32:30 PM,24.158,0.0,,,,
307,05/12/19 05:33:00 PM,24.158,0.0,,,,
308,05/12/19 05:33:30 PM,24.158,0.0,,,,
309,05/12/19 05:34:00 PM,24.158,0.0,,,,
310,05/12/19 05:34:30 PM,24.158,0.0,,,,
311,05/12/19 05:35:00 PM,24.158,0.0,,,,
312,05/12/19 05:35:30 PM,24.158,0.0,,,,
313,05/12/19 05:36:00 PM,24.158,0.0,,,,
314,05/12/19 05:36:30 PM,24.158,0.0,,,,
315,05/12/19 05:37:00 PM,24.158,0.0,,,,
316,05/12/19 05:37:30 PM,24.158,0.0,,,,
317,05/12/19 05:38:00 PM,24.158,0.0,,,,
318,05/12/19 05:38:30 PM,24.158,0.0,,,,
319,05/12/19 05:39:00 PM,24.158,0.0,,,,
320,05/12/19 05:39:30 PM,24.158,0.0,,,,
321,05/12/19 05:40:00 PM,24.158,0.0,,,,
322,05/12/19 05:40:30 PM,24.158,0.0,,,,
323,05/12/19 05:41:00 PM,24.158,0.0,,,,
324,05/12/19 05:41:30 PM,24.158,0.0,,,,
325,05/12/19 05:42:00 PM,24.158,0.0,,,,
326,05/12/19 05:42:30 PM,24.158,0.0,,,,
327,05/12/19 05:43:00 PM,24.158,0.0,,,,
328,05/12/19 05:43:30 PM,24.158,0.0,,,,
